county,avg_annual_tpp_returns,avg_appraised_per_return,avg_county_tax_per_return,county_rate_per_100,three_yr_total_assessed,multi_district,comptroller_return_count,audited_realization_pct,realization_source
Henry,943,171047.62,819.19,1.59642,145116804,yes,yes,99.42,computed
Hickman,,279585.28,1523.94,1.8169,48821099,no,no,93,policy
Houston,217,130071.92,687.67,1.76229,25403045,no,yes,98.59,computed
Humphreys,525,943462.6,5207.63,1.8399,446069115,yes,yes,98.81,computed
Jackson,255,68543.3,524.36,2.55,15751250,no,yes,98.86,computed
Jefferson,1251,309219.86,1516.33,1.63458,348057872,no,yes,98.43,computed
Johnson,233,194055.09,1286.59,2.21,40751568,no,yes,99.4,computed
Knox,,279585.28,1523.94,1.8169,2706109865,no,no,98.78,statewide median
Lake,123,275954.68,2782.43,3.36098,30630969,no,yes,98.74,computed
Lauderdale,509,209418.93,1595.46,2.5395,95871984,no,yes,98.9,computed
Lawrence,1094,185674.81,1119.9,2.0105,182871125,no,yes,99,policy
Lewis,154,184476.21,843.92,1.52489,25568403,no,yes,99,policy
Lincoln,811,271136.73,1748.43,2.14951,197821358,no,yes,99,policy
Loudon,1344,312691.14,1579.96,1.68426,378137397,yes,yes,99.06,computed
Macon,496,134641.08,627.53,1.55359,60063385,no,yes,97,policy
Madison,2628,522423.41,2936.44,1.8736,1235792578,no,yes,98.98,computed
Marion,637,410180.5,2166.12,1.7603,235033426,yes,yes,98.12,computed
Marshall,1047,334929.1,1875.75,1.86681,315503215,no,yes,99.36,computed
Maury,2928,361221.36,2069.8,1.91,951998889,no,yes,99.31,computed
McMinn,1387,605418.4,1965.73,1.0823,755925408,no,yes,97.84,computed
McNairy,467,296992.66,1405.25,1.5772,124736916,no,yes,96.02,computed
Meigs,159,228205.75,1155.98,1.6885,32587781,no,yes,92,policy
Monroe,993,546579.9,2497.0,1.5228,488642429,no,yes,98.57,computed
Montgomery,,279585.28,1523.94,1.8169,1099600154,no,no,99,policy
Moore,140,1102911.73,5936.81,1.79428,138636004,yes,yes,99,policy
Morgan,297,102785.25,838.42,2.719,27474496,no,yes,97.96,computed
Obion,977,266809.93,1104.91,1.3804,234605975,yes,yes,99.29,computed
Overton,591,193220.92,1042.62,1.79867,102832172,no,yes,99.33,computed
Perry,182,176151.78,1213.54,2.2964,28906507,no,yes,98,policy
Pickett,99,144047.56,738.57,1.70909,12834638,no,yes,99,policy
Polk,404,122636.21,621.58,1.6895,44590527,no,yes,96.88,computed
Putnam,2649,152808.29,1219.41,2.66,364356092,no,yes,99.03,computed
Rhea,776,275897.93,1281.89,1.54875,192604342,no,yes,92,policy
Roane,1366,173117.41,1052.98,2.02749,212778608,yes,yes,98.09,computed
Robertson,1878,406664.6,2195.99,1.8,687344509,no,yes,96,policy
Rutherford,,279585.28,1523.94,1.8169,2851135728,no,no,97.41,computed
Scott,408,236853.79,1137.54,1.6009,86972712,yes,yes,97.7,computed
Sequatchie,385,152171.38,838.43,1.8366,52681732,no,yes,97.71,computed
Sevier,13985,48830.48,216.81,1.48,614604824,no,yes,98.66,computed
Shelby,,279585.28,1523.94,1.8169,5557550865,no,no,98.78,statewide median
Smith,484,384150.92,1997.32,1.7331,167336141,no,yes,99,policy
Stewart,294,239343.18,1203.97,1.67677,63402008,no,yes,99.29,computed
Sullivan,3795,565041.18,3566.04,2.10371,1929898145,no,yes,98.68,computed
Sumner,3639,330729.57,1611.55,1.62423,1083073188,no,yes,98.78,statewide median
Tipton,1213,213170.5,973.14,1.5217,232654286,no,yes,98.78,computed
Trousdale,188,131976.83,802.85,2.02774,22370072,yes,yes,92,policy
Unicoi,352,317059.5,2483.05,2.6105,100349332,no,yes,98.89,computed
Union,215,191605.2,1092.09,1.8999,37133088,no,yes,98.73,computed
Van Buren,140,82115.63,591.23,2.4,10321935,no,yes,99.13,computed
Warren,1083,183855.36,917.02,1.66258,179203822,no,yes,99.22,computed
Washington,3136,215707.32,1176.33,1.81779,608747630,no,yes,98.78,statewide median
Wayne,252,217955.47,1238.53,1.89416,49432300,no,yes,99,policy
Weakley,796,267468.53,1143.31,1.42486,191614454,no,yes,99.52,computed
White,530,232715.09,1218.83,1.74581,111005096,no,yes,98.77,computed
Williamson,,279585.28,1523.94,1.8169,1290151011,yes,no,98.78,statewide median
Wilson,3126,364182.58,2085.56,1.9089,681531280,yes,yes,98.78,statewide median
